Name of Restaurant,Location,Cuisine,Top Dishes,PRICE,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Adyar Ananda Bhavan,Mahabalipuram,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']","['Filtered Coffee', ' Thali', ' Paratha', ' Pongal', ' Chaat', ' Rasmalai', ' Idli']",150.0,2.8,107,0.0,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Purasavakkam,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']","['Rasmalai', ' Coffee', ' Chaat', ' Masala Dosa']",150.0,3.5,121,3.9,55,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Koyambedu,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Mithai']","['Pongal', ' Coffee', ' Thali']",300.0,3.4,113,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes', 'Catering Available', 'Table booking recommended']"
Adyar Ananda Bhavan,Triplicane,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Mithai']","['Coffee', ' Bhel Puri', ' Paratha', ' Chips', ' Ghee Dosa']",300.0,3.2,126,3.8,48,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Desserts and Bakes', 'Pre-Ordering Required']"
Adyar Ananda Bhavan,Washermenpet,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",['Chaat'],150.0,3.7,138,0.0,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Table Reservation Not Required', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Mylapore,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']","['Chaat', ' Cheese Pav Bhaji']",150.0,3.0,84,0.0,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Pre-Ordering Required', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Pallavaram,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.7,102,3.9,57,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table booking recommended', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Nanganallur,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.2,91,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Ashok Nagar,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']","['Coffee', ' Paratha']",150.0,3.6,85,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Saidapet,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']","['Bhel Puri', ' Panipuri']",150.0,2.9,63,0.0,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes', 'Pre-Ordering Required', 'Catering Available']"
Adyar Ananda Bhavan,Nungambakkam,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']","['Chaat', ' Mysore Pak']",150.0,3.1,75,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Desserts and Bakes', 'Pre-Ordering Required']"
Adyar Ananda Bhavan,Royapuram,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.3,73,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table booking recommended', 'Desserts and Bakes', 'Pre-Ordering Required']"
Adyar Ananda Bhavan,Mogappair,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']","['Vada', ' Pongal']",150.0,3.4,79,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Vettuvankeni,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.6,60,0.0,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Perambur,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.6,76,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Table Reservation Not Required', 'Indoor Seating', 'Desserts and Bakes']"
Adyar Ananda Bhavan,GST Road,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.0,71,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Desserts and Bakes', 'Catering Available']"
Adyar Ananda Bhavan,Parrys,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.5,47,0.0,0,"['Breakfast', 'Vegetarian Only', 'Desserts and Bakes', 'Indoor Seating', 'Catering Available']"
Adyar Ananda Bhavan,T. Nagar,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",['Coffee'],150.0,3.3,44,0.0,0,"['Breakfast', 'Vegetarian Only', 'Catering Available', 'Indoor Seating', 'Desserts and Bakes', 'Table Reservation Not Required']"
Adyar Ananda Bhavan,Mogappair,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.5,49,0.0,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes', 'Catering Available']"
