Name of Restaurant,Location,Cuisine,Top Dishes,PRICE,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Hotel Prasan Sandeepha,Madipakkam,"['South Indian', ' North Indian', ' Beverages']","['Vada', ' Masala Dosa', ' Ghee Pongal', ' Masala Poori', ' Paneer Dosa']",225.0,3.8,204,4.0,1684,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Lassi House,Purasavakkam,['Beverages'],Not Mentioned,125.0,0.0,0,3.8,8570,['Home Delivery']
Golcondas,"OMR Food Street, Navallur","['Biryani', ' Andhra', ' North Indian', ' Chinese']","['Guntur Bilal Biryani', ' Hyderabadi Biryani', ' Butter Chicken', ' Chicken Lollipop', ' Fry Prawns', ' Mutton Biryani', ' Vegetable Biryani']",250.0,3.8,185,3.8,406,"['Home Delivery', 'Indoor Seating']"
Turyaa Chennai,Turyaa Chennai ,"['Continental', ' North Indian', ' Italian', ' South Indian', ' Chinese', ' Sri Lankan', ' Biryani', ' Burger']","['Pasta', ' Salad', ' Fish', ' Gulab Jamun', ' Buttermilk', ' Noodle', ' Pizza']",750.0,3.8,168,0.0,0,"['Breakfast', 'Wheelchair Accessible', 'Full Bar Available', 'Free Parking', 'Table reservation required', 'Kid Friendly', 'Wifi', 'Serves Jain Food', 'Brunch', 'Valet Parking Available', 'Indoor Seating', 'Disabled Friendly', 'Vegan Options', 'Buffet']"
Nite World,Kodambakkam,"['Chinese', ' South Indian', ' Arabian']","['Biryani', ' Fried Rice Chicken']",275.0,0.0,0,4.1,1372,"['Home Delivery', 'Free Parking']"
Dash@OMR,"Dash@OMR, Old Mahabalipuram Road (OMR)",['Finger Food'],"['Cocktails', ' British Empire']",825.0,3.8,243,0.0,0,"['Full Bar Available', 'Free Parking', 'Live Sports Screening', 'Sports TV', 'Live Music', 'Serves Cocktails', 'Table reservation required', 'Smoking Area', 'Dance Floor', 'Live Entertainment', 'Nightlife', 'Valet Parking Available', 'Indoor Seating', 'Restricted Entry']"
Disco Chetinad Restaurant,Potheri,"['Chettinad', ' North Indian', ' Chinese', ' Biryani']","['Panneer Butter Masala', ' Garlic Chicken', ' Chicken Grill']",250.0,3.2,249,4.1,1817,"['Home Delivery', 'Indoor Seating', 'Wifi']"
Cream Story,Ekkaduthangal,"['Desserts', ' Ice Cream', ' Beverages']","['Waffles', ' Pancakes', ' Thick Shakes']",300.0,4.2,180,4.0,920,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Ya Rahman Briyani,Medavakkam,"['Biryani', ' North Indian', ' Chinese']",['Biryani'],200.0,3.8,236,3.5,14200,"['Home Delivery', 'Indoor Seating']"
China Xpress Restaurant,Ramapuram,"['Chinese', ' North Indian']","['Chicken Lollipop', ' Phuket Fish', ' Mutton Biryani', ' Dragon Chicken', ' Tandoori Chicken']",225.0,3.4,202,3.5,2532,"['Home Delivery', 'Table reservation required', 'Indoor Seating']"
FB Cakes N Sweets,Karapakkam,"['Bakery', ' Ice Cream', ' Fast Food']","['Chicken 65', ' Sandwich', ' Burgers', ' Pizza']",250.0,3.8,198,4.0,709,"['Breakfast', 'Home Delivery', 'Free Parking', 'Desserts and Bakes', 'Indoor Seating']"
Bismillah Briyani & Fast Foods,Kolathur,"['Biryani', ' North Indian', ' Chinese']",Not Mentioned,150.0,3.9,217,3.9,10400,"['Home Delivery', 'Indoor Seating']"
Dwarka,Gopalapuram,"['North Indian', ' Street Food', ' Chinese', ' Fast Food']","['Panipuri', ' Bhel Puri', ' Butter Naan', ' Pav Bhaji', ' Brownie', ' Chaat', ' Paneer Bhurji']",400.0,3.9,143,3.6,56,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table Reservation Not Required', 'Buffet']"
Chef Express,T. Nagar,"['Italian', ' Pizza', ' Fast Food']","['Sandwich', ' Bbq Chicken', ' Sicilian Pizza', ' Margarita', ' Chicken Wings', ' Garlic Bread', ' Spicy Lamb Pizza']",325.0,0.0,0,3.5,3033,['Home Delivery']
Pabrai's Fresh and Naturelle Ice Creams,Besant Nagar,"['Ice Cream', ' Desserts']","['Paan Ice Cream', ' South Indian Filter Coffee', ' Flavored Ice Cream', ' Apple Pie', ' Gur Ice Cream', ' Nolen Gur', ' Nolen Gurer Ice Cream']",100.0,4.0,145,4.1,160,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes', 'Catering Available', 'Sugar Free Options']"
Faizee,Ramapuram,"['Biryani', ' North Indian', ' Arabian', ' BBQ', ' Chinese', ' Beverages']","['Naan', ' Bbq Fish', ' Fish Finger', ' Shawarma Roll', ' Bbq Chicken', ' Arabian Grape Juice']",500.0,3.6,166,4.2,985,"['Home Delivery', 'Table reservation required', 'Indoor Seating', 'Table booking recommended']"
Frost Goddess,Anna Nagar East,"['Bakery', ' Desserts']","['Chocolate Truffle', ' Chocolate Cake', ' Fondant Cake']",200.0,0.0,0,4.2,65,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']"
Milkie Mustache,Perambur,"['Desserts', ' Beverages']","['Mocktails', ' Milk Shake', ' Apple Pie', ' Ferrero Rocher', ' Red Velvet', ' Thick Shakes', ' Chocolate Milkshake']",150.0,4.1,182,4.2,1073,"['Home Delivery', 'Outdoor Seating']"
Bottle Bees,Thuraipakkam,['Italian'],"['Cocktails', ' Pasta', ' Paneer Tikka', ' Cheese Balls', ' Pizza', ' Peri Peri Prawn']",850.0,3.7,105,3.7,30,"['Home Delivery', 'Full Bar Available', 'Live Entertainment', 'Indoor Seating', 'Table booking recommended', 'Brunch', 'Free Wifi', 'LGBTQIA Friendly', 'Buffet']"
Chettiar Biryani Kadai,T. Nagar,['Biryani'],Not Mentioned,200.0,0.0,0,3.8,4187,['Delivery Only']
The Tiger House,Besant Nagar,"['Fast Food', ' Beverages']","['Cocktails', ' Crispy Chicken', ' Burgers', ' Jalapeno Cheese Poppers', ' Pizza', ' Prawn']",450.0,3.7,118,0.0,0,"['Home Delivery', 'Full Bar Available', 'Serves Cocktails', 'Live Music', 'Indoor Seating', 'Live Sports Screening', 'Table booking recommended']"
Madurai Alagarsamy Mess,Madipakkam,"['South Indian', ' North Indian', ' Chinese']",Not Mentioned,175.0,4.0,161,4.1,7834,"['Home Delivery', 'Indoor Seating']"
Sathyam Cinemas,"Sathyam Cinemas Complex, Royapettah","['Street Food', ' Beverages']","['Popcorn', ' Veg Puff', ' Brownie Chocolate', ' Fries']",150.0,4.3,241,4.4,1673,"['Home Delivery', 'Indoor Seating']"
Viswanathan Chettinadu Hotel,Mylapore,['South Indian'],"['Fish Fry', ' Mutton Chukka', ' Omelette', ' Prawn Thokku', ' Mutton Sukha', ' Fry Prawns', ' Prawn Gravy']",150.0,4.1,217,4.1,829,"['Breakfast', 'Home Delivery', 'Free Parking', 'Catering Available', 'Indoor Seating']"
Hokkaido,Alwarpet,['Japanese'],"['Sushi Platter', ' Fish', ' Teriyaki Chicken', ' Tempura', ' Salmon Maki', ' Rainbow Roll', ' Miso Soup']",500.0,4.1,139,0.0,0,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Crowne Plaza Chennai Adyar Park,"Crowne Plaza Chennai Adyar Park, Alwarpet","['North Indian', ' Chinese']",['Long Island Iced Tea'],1500.0,3.6,255,0.0,0,"['Wheelchair Accessible', 'Full Bar Available', 'Nightlife', 'Indoor Seating', '4/5 Star', 'Wifi', 'Table booking recommended', 'LGBTQIA Friendly']"
The Shack @ Elliots,Besant Nagar,"['American', ' Continental', ' European', ' Italian']","['Stuffed Mushroom', ' Maggi', ' Garlic Bread', ' Pasta', ' Nachos', ' Mozzarella Sticks', ' Corn Fritters']",350.0,3.9,132,3.9,77,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Outdoor Seating', 'Wifi']"
The Chennai Sandwich Shop,Ramapuram,"['Sandwich', ' Fast Food', ' Beverages']","['Sandwich', ' Pizza']",200.0,4.0,230,3.1,2037,"['Home Delivery', 'Indoor Seating']"
The Atlantis Coffee,Anna Nagar East,"['Cafe', ' Italian']","['Pizza', ' Coffee', ' Brownie', ' Pasta', ' Burgers', ' Masala Garlic Bread']",350.0,4.1,128,0.0,0,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Kooraikadai Biryani Centre,Sholinganallur,['Biryani'],"['Chicken 65', ' Mutton Chukka', ' Mutton Biryani', ' Brinjal Gravy', ' Masala Prawn', ' Chicken Chukka', ' Rasam Rice']",125.0,3.9,197,0.0,0,['Indoor Seating']
Silver Spoon,Anna Nagar East,"['Biryani', ' North Indian', ' Mughlai', ' Chinese', ' BBQ']","['Faluda', ' Biryani', ' Roast Chicken', ' Haleem', ' Paneer Tikka', ' Apollo Fish', ' French Fries']",350.0,4.0,110,4.3,626,"['Home Delivery', 'Indoor Seating']"
Kalathi Rose Milk Shop,Mylapore,['Beverages'],['Rose Milk'],75.0,4.2,190,0.0,0,['Takeaway Only']
Chidambaram New Moorthy Cafe,Anna Nagar West,"['North Indian', ' Seafood', ' Chinese']","['Paratha', ' Pepper Chicken', ' Lobster', ' Egg Dosa', ' Mutton Bone Soup', ' Fish Finger', ' Faluda']",250.0,4.1,192,4.3,715,"['Home Delivery', 'Indoor Seating']"
Kalpaka Restaurant,Royapettah,"['North Indian', ' Kerala', ' Chettinad', ' South Indian']","['Beef Curry', ' Chicken Curry', ' Beef Chilli', ' Kerala Parotta', ' Syrian Beef Fry']",250.0,3.6,210,4.3,1053,"['Home Delivery', 'Indoor Seating']"
Ulta Tawa,Anna Nagar East,"['Rolls', ' North Indian', ' Kebab', ' Mughlai']","['Rolls', ' Galauti Kebab', ' Chicken Malai Tikka Roll', ' Paratha', ' Punjabi Lassi', ' Mutton Seekh Roll', ' Biryani']",275.0,4.0,176,4.2,1677,"['Home Delivery', 'Indoor Seating']"
Saleem Biryani,Ambattur,"['Biryani', ' North Indian', ' Chinese', ' South Indian']",Not Mentioned,250.0,3.5,109,3.6,5427,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
The Track,Kotturpuram,"['North Indian', ' Chinese', ' Continental', ' Seafood', ' Desserts']","['Noodle', ' Panneer Butter Masala', ' Chicken Biryani', ' Tikka', ' Mutton Roganjosh', ' Garlic Naan', ' Murgh Rara']",275.0,3.7,205,4.1,92,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Gaurav Vada Pav Centre,Perungudi,['Street Food'],"['Vada Pav', ' Bread Pakora', ' Cheese Dabeli', ' Bread Bhajji', ' Misal Pav', ' Crispy Vada', ' Sabudana Vada']",50.0,4.2,188,0.0,0,"['Takeaway Only', 'Vegetarian Only']"
Kurtos,Besant Nagar,"['Bakery', ' Desserts', ' Fast Food', ' Beverages']",Not Mentioned,300.0,4.0,156,3.9,80,"['Home Delivery', 'Desserts and Bakes', 'Indoor Seating']"
Karan Ka Dhaba,Tambaram,"['North Indian', ' Biryani']","['Lassi', ' Momos', ' Roti', ' Biryani', ' Naan', ' Fried Rice', ' Dal Makhani']",250.0,3.7,209,3.5,1461,"['Home Delivery', 'Indoor Seating']"
Ambrocia's,Vandalur,"['North Indian', ' Chinese', ' Chettinad']","['Hyderabadi Biryani', ' Naan', ' Noodle']",200.0,4.0,229,4.0,1530,"['Home Delivery', 'Indoor Seating']"
Hotel Saravana Bhavan,Navallur,"['South Indian', ' North Indian', ' Mithai']","['Masala Dosa', ' Mini Idlis', ' Idli']",250.0,2.7,187,3.3,4704,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Pre-Ordering Required']"
Geetha Cafe,T. Nagar,"['Chinese', ' Desserts', ' North Indian']","['Filtered Coffee', ' Chaat', ' Bonda', ' Idli', ' Pav Bhaji', ' Vada', ' Curd Rice']",175.0,3.9,184,3.7,1450,"['Home Delivery', 'Indoor Seating']"
Roattukadai Food Court,T. Nagar,"['Biryani', ' Chinese', ' South Indian', ' North Indian']",Not Mentioned,150.0,3.5,184,3.8,9306,"['Home Delivery', 'Indoor Seating']"
The Sea Food Mess,Chromepet,"['South Indian', ' Chettinad', ' Seafood']",Not Mentioned,400.0,3.9,179,3.5,732,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Meat And Eat,Ambattur,"['Burger', ' Fast Food']","['Burgers', ' Fries', ' Chicken Burger']",175.0,3.5,228,3.9,4575,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Outdoor Seating']"
Fabcafe By Fabindia,Besant Nagar,"['Cafe', ' North Indian', ' Biryani', ' Momos', ' Street Food', ' Healthy Food']","['Momos', ' Galauti Kebab', ' Chaat', ' Cheesecake', ' Caramelized Bananas', ' Pancakes', ' Chicken Momo']",600.0,4.0,113,4.0,156,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Keto Options']"
Hyderabadi Nizaam Biriyani,Perambur,"['North Indian', ' South Indian', ' Biryani']",['Tandoori Chicken'],250.0,3.9,254,3.5,8623,"['Home Delivery', 'Indoor Seating']"
King Sandwich,Kodambakkam,"['Sandwich', ' Fast Food']","['Burgers', ' Corn Sandwich', ' French Fries', ' Cheese Balls', ' Paneer Sandwich', ' Chicken Sandwich', ' Club Sandwich']",175.0,3.9,180,4.2,5084,"['Home Delivery', 'Indoor Seating']"
99 Pancakes,Besant Nagar,"['Desserts', ' Beverages', ' Pizza']","['Waffles', ' Nutella Pancakes', ' Iced Tea', ' Pizza', ' Crepe']",150.0,4.0,165,4.3,558,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']"
Moz Burger,Ekkaduthangal,"['Italian', ' Fast Food', ' Chinese']","['Burgers', ' Fries', ' Veg Burger', ' Pasta', ' Pizza', ' Caramel Custard']",175.0,3.7,141,4.1,603,"['Home Delivery', 'Free Parking', 'Rooftop', 'Indoor Seating']"
Kabul,Mylapore,"['North Indian', ' Mughlai']","['Rumali Roti', ' Dum Biryani', ' Tikka', ' Kesar Pista Kulfi', ' Naan', ' Pathar Ka Ghost', ' Hyderabadi Biryani']",550.0,3.8,198,4.2,370,"['Home Delivery', 'Table reservation required', 'Free Parking', 'Indoor Seating']"
Days Hotel,"Days Hotel, Old Mahabalipuram Road (OMR)","['Continental', ' North Indian', ' Asian']","['Biryani', ' Fish Curry', ' Dal Makhani', ' Butter Chicken', ' Gulab Jamun', ' Sushi', ' Salad']",750.0,4.0,105,0.0,0,"['Breakfast', 'Serves Alcohol', 'Valet Parking Available', 'Indoor Seating', 'Wifi']"
Night Food,Karapakkam,"['Chinese', ' North Indian', ' Chettinad', ' Rolls']",Not Mentioned,250.0,0.0,0,4.0,1233,['Home Delivery']
Apoorva's Sangeetha Veg,Aminijikarai,"['South Indian', ' North Indian', ' Chinese', ' Beverages']","['Idli', ' Panneer Butter Masala', ' Chaat', ' Coffee', ' Masala Dosa', ' Veg Fried Rice']",225.0,3.4,174,3.9,3439,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Tic Tac,T. Nagar,"['Chinese', ' North Indian', ' Rolls']","['Rolls', ' Kathi Roll', ' Chicken Roll', ' Chicken Tikka', ' Butter Chicken', ' Noodles', ' Paneer Tikka Roll']",250.0,4.0,197,4.1,1852,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Bamboo Shoot Restaurant,Velachery,"['North Indian', ' Chinese', ' Chettinad']","['Momos', ' Bamboo Biryani', ' Chicken Grill', ' Prawn', ' Dragon Chicken', ' Veg Fried Rice', ' Tandoori Chicken']",300.0,3.4,210,3.3,4146,"['Home Delivery', 'Indoor Seating', 'Table booking recommended', 'Rooftop']"
Tuck Shop Gourmet,Egmore,"['Fast Food', ' Italian', ' Beverages']","['Burgers', ' Sandwich', ' Fries', ' Beef Burger', ' Donut', ' Chicken Patty', ' Lamb']",250.0,3.3,64,3.8,223,"['Home Delivery', 'Indoor Seating', 'Wifi']"
Flavours Of Lanka,Mogappair,"['Sri Lankan', ' North Indian']","['Yellow Rice', ' Fish', ' Butter Chicken', ' Lunch Buffet', ' Fried Rice', ' Roti']",400.0,3.7,102,3.8,443,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Kid Friendly', 'Wifi', 'Buffet', 'Indoor Seating']"
Chaska Food Truck,Thiruvanmiyur,"['Tibetan', ' Chinese', ' Momos']","['Noodle', ' Schezwan Fried Rice', ' Pan Fried Momos']",125.0,4.1,190,3.9,376,"['Home Delivery', 'Free Parking', 'Self Service', 'Outdoor Seating']"
Baristo Brew,Nungambakkam,"['Fast Food', ' Chinese', ' Beverages']","['White Pasta', ' Iced Tea', ' Maggi', ' Cheese Chilli Toast', ' Garlic Bread']",350.0,3.3,210,3.6,46,"['Home Delivery', 'Vegetarian Only', 'Live Sports Screening', 'Live Music', 'Table booking recommended', 'Smoking Area', 'Valet Parking Available', 'Indoor Seating']"
Hotel Hi Light,Perungudi,"['Mughlai', ' Chinese', ' North Indian']","['Chicken Grill', ' Tandoori Chicken', ' Biryani', ' Naan', ' Egg Masala']",200.0,3.8,225,4.0,1229,"['Home Delivery', 'Indoor Seating']"
Shangai Chinese Kitchen,Maduravoyal,"['Chinese', ' Seafood']",Not Mentioned,175.0,3.8,213,3.7,3564,"['Home Delivery', 'Indoor Seating']"
Shake N Score,T. Nagar,"['Beverages', ' Juices']","['Waffles', ' Fries', ' Milk Shake', ' Momos']",200.0,4.1,199,4.2,530,"['Home Delivery', 'Indoor Seating']"
Al Arabian Delights,Sholinganallur,"['Arabian', ' Biryani', ' North Indian', ' Chinese']","['Biryani', ' Shawarma']",200.0,3.8,248,3.8,7470,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Buttons,Besant Nagar,"['Bakery', ' Desserts']","['Cupcake', ' Triple Chocolate', ' Pizza', ' Salted Caramel', ' Chocolate Pretzel']",100.0,0.0,0,4.0,278,"['Home Delivery', 'Desserts and Bakes']"
Sundari Akka Kadai,Triplicane,"['Seafood', ' South Indian']","['Fry Prawns', ' Sea Food', ' Prawn', ' Vanjaram Fish Fry']",100.0,3.8,197,0.0,0,['Outdoor Seating']
Madurai Sri Thevar Hotel,T. Nagar,"['Biryani', ' South Indian', ' North Indian', ' Chinese']",['Biryani'],150.0,3.3,90,3.7,4072,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
Grand Kitchenz,Park Town,"['Chinese', ' North Indian']","['Fried Rice', ' Chicken Grill', ' Chicken 65', ' Butter Naan', ' Tandoori Chicken']",250.0,3.9,213,3.5,6138,"['Home Delivery', 'Indoor Seating']"
Zafar Biryani,Tambaram,"['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Mughlai']","['Chicken 65', ' Chicken Grill']",350.0,3.8,196,3.7,10600,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Dawat Biriyani,Potheri,"['North Indian', ' Chinese', ' Biryani', ' Momos']",['Chicken Biryani'],300.0,3.7,243,3.9,12400,"['Home Delivery', 'Indoor Seating']"
IBIS Chennai OMR,"IBIS Chennai, OMR","['Tibetan', ' Mexican', ' North Indian', ' Chinese', ' Beverages']","['Fish', ' Chicken Momo', ' Noodle', ' Garlic Chicken', ' Momos']",550.0,4.1,116,0.0,0,"['Breakfast', 'Wheelchair Accessible', 'Full Bar Available', 'Celebrity Frequented', 'Sports TV', 'Indoor Seating', 'Table booking recommended', 'Resto Bar', 'LGBTQIA Friendly', 'Buffet', 'Desserts and Bakes', 'Group Meal', 'Gaming Area', 'Valet Parking Available', 'Outdoor Seating', 'Bulk Orders Accepted', 'Catering Available', 'Disabled Friendly', 'Egg Preparations', 'Smoking Area', 'Vegan Options']"
Salem RR Restaurant,Koyambedu,"['Biryani', ' South Indian']",Not Mentioned,150.0,3.8,234,3.9,19300,"['Home Delivery', 'Catering Available', 'Indoor Seating']"
The ChopHouse At Dominici's,Potheri,"['Chinese', ' Momos', ' Fast Food']","['Chicken Pasta', ' American Chopsuey', ' Manchurian Momo', ' Garlic Momos']",325.0,3.7,194,3.2,5272,"['Home Delivery', 'Indoor Seating']"
SRM Chettinad Hotel,GST Road,"['Chettinad', ' Fast Food']","['Paratha', ' Chicken Grill', ' Brain Fry']",150.0,3.9,203,3.9,5284,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Akbar Mess,Vepery,"['Biryani', ' Fast Food']","['Mutton Biryani', ' Brain Fry', ' Mutton Chops']",100.0,4.0,174,0.0,0,['Indoor Seating']
Al Madina Restaurant,Tambaram,['Biryani'],['Biryani'],200.0,3.8,239,3.6,12500,"['Home Delivery', 'Indoor Seating']"
Crowne Plaza Chennai Adyar Park,"Crowne Plaza Chennai Adyar Park, Alwarpet","['Continental', ' European']","['Wine', ' Salad', ' Cocktails', ' Hot Pot', ' Mashed Potato', ' Beef Steak', ' Lobster']",2000.0,4.0,76,0.0,0,"['Full Bar Available', 'Table booking recommended', 'Wifi', 'Indoor Seating', '4/5 Star', 'Luxury Dining']"
Kebab It,Besant Nagar,"['Kebab', ' Chinese', ' North Indian']","['Rolls', ' Chicken Roll', ' Beef Fry', ' Shawarma', ' Chicken Seekh', ' Malai Kebab', ' Murgh Malai']",250.0,4.0,170,4.0,604,"['Home Delivery', 'Indoor Seating']"
Abhinandan,Egmore,"['South Indian', ' Chinese', ' North Indian', ' Street Food', ' Fast Food', ' Beverages']","['Thali', ' Masala Dosa', ' Filtered Coffee', ' Vada', ' Idli', ' Panneer Butter Masala', ' Samosa']",225.0,3.9,120,0.0,0,"['Breakfast', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Pupils Kitchen,Ramapuram,"['North Indian', ' Chinese', ' Biryani']","['Biryani', ' Tandoori Chicken', ' Kerala Parotta', ' Basmati Rice']",200.0,3.6,212,3.5,6972,"['Home Delivery', 'Indoor Seating', 'Free Parking']"
365  Hyatt Regency,"Hyatt Regency, Teynampet",['Finger Food'],"['Pizza', ' Beer', ' Coffee', ' Cocktails', ' Pasta', ' Popcorn', ' Long Island Iced Tea']",1600.0,4.1,212,0.0,0,"['Full Bar Available', 'Valet Parking Available', 'Wifi', '4/5 Star', 'Smoking Area', 'Outdoor Seating', 'Luxury Dining', 'Live Sports Screening', 'Indoor Seating', 'Table booking recommended', 'Brunch']"
Arabian Corner,Ambattur,['BBQ'],Not Mentioned,150.0,3.8,245,3.8,2124,"['Home Delivery', 'Free Parking', 'Outdoor Seating']"
Madurai Sri Devar Hotel,Pallikaranai,"['North Indian', ' Chinese', ' South Indian']","['Tandoori Chicken', ' Butter Naan', ' Paratha', ' Omelette', ' Chicken Chettinad']",250.0,3.5,195,3.3,718,"['Home Delivery', 'Indoor Seating']"
Bilal Biriyani,Pallavaram,"['Biryani', ' North Indian', ' Chinese']","['Chicken 65', ' Mutton Biryani']",175.0,3.9,159,3.8,1894,"['Home Delivery', 'Indoor Seating']"
Baker's Cafe,Mylapore,"['Bakery', ' Fast Food', ' Sandwich', ' Ice Cream', ' Pizza']","['Vada Pav', ' Sandwiches', ' Royal Chocolate', ' Pizza', ' Chocolate Mousse', ' Burgers', ' Eggless Cake']",175.0,3.9,123,4.3,563,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Pre-Ordering Required', 'Desserts and Bakes', 'Indoor Seating', 'Catering Available']"
Hot Treat,George Town,"['Chinese', ' Biryani', ' South Indian']",['Roti'],225.0,3.6,182,3.3,6164,"['Home Delivery', 'Indoor Seating']"
Wow Biriyani,Choolaimedu,"['South Indian', ' Biryani']",Not Mentioned,250.0,2.7,204,3.3,2931,"['Home Delivery', 'Indoor Seating']"
Rotticious,Royapettah,"['Bakery', ' Cafe']","['Margherita Pizza', ' Donut', ' Coffee', ' Sandwich', ' Tea']",175.0,3.6,101,4.3,569,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Chicago Pizza,Nungambakkam,"['Pizza', ' Italian', ' Fast Food']","['Monster Pizza', ' Veggie Pizza', ' Garlic Bread']",300.0,2.9,115,2.4,354,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Barbecue World,Ambattur,"['North Indian', ' BBQ']",['Shawarma'],275.0,3.6,167,3.4,4257,"['Home Delivery', 'Indoor Seating']"
Ajnabi Mithaai,Alwarpet,"['Mithai', ' Street Food', ' North Indian', ' Fast Food']","['Chaat', ' Bhel Puri', ' Rasmalai', ' Dhokla', ' Panipuri', ' Grilled Sandwich', ' Dahi Papdi']",150.0,3.8,132,4.0,2264,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Pre-Ordering Required', 'Sugar Free Options', 'Desserts and Bakes', 'Indoor Seating']"
The Baker Ninja,Alwarpet,"['Bakery', ' Coffee']","['Brownie', ' Hot Chocolate', ' Cheesecake', ' Macaroon', ' Coffee', ' Cupcake', ' Chocolate Cookies']",250.0,4.1,112,4.5,145,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Fish 'n' Prawn,Arumbakkam,"['Seafood', ' North Indian', ' Chinese', ' South Indian']","['Chicken Grill', ' Fish Finger', ' Masala Prawn', ' Shawarma', ' Fry Prawns', ' Faluda', ' Steamed Rice']",275.0,3.6,162,3.8,1170,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Lydie's,Muttukadu,"['Continental', ' South Indian']","['Tiramisu', ' Steak', ' Fish Curry', ' Caramelized Bananas', ' Fries', ' Crispy Chicken', ' Fish Finger']",775.0,3.7,187,0.0,0,"['Home Delivery', 'Indoor Seating', 'Outdoor Seating', 'Table reservation required']"
Ruby,Taramani,"['Biryani', ' North Indian', ' Chinese', ' South Indian', ' Sandwich', ' Rolls', ' Desserts', ' Beverages']",['Biryani'],275.0,3.8,232,3.5,4452,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Sanabel Biryani Point,Anna Nagar East,"['Biryani', ' Fast Food']","['Mutton Biryani', ' Chicken 65', ' Chilli Chicken']",200.0,3.9,221,4.3,540,"['Home Delivery', 'Indoor Seating']"
Tarts,Selaiyur,"['Pizza', ' Fast Food', ' Bakery', ' Beverages']","['Milk Pudding', ' Burgers', ' Sandwich', ' Brownie', ' Chaat', ' Cupcake', ' Blackforest Cake']",250.0,3.9,131,3.9,19,"['Home Delivery', 'Indoor Seating', 'Table booking recommended', 'Desserts and Bakes']"
Seasons,Selaiyur,"['North Indian', ' Chinese']","['Chicken Lollipop', ' Tandoori Chicken', ' Roti', ' Butter Naan']",350.0,3.6,205,4.0,1961,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Qurbani Biryani,Ambattur,"['North Indian', ' Chinese', ' Arabian', ' Biryani']",Not Mentioned,250.0,3.8,174,3.8,7405,"['Home Delivery', 'Indoor Seating']"
Esthell Multicuisine,Adyar,"['Mexican', ' Italian', ' North Indian']","['Pizza', ' Wild Mushroom Soup', ' Churros', ' Salad', ' Tikka', ' Chicken Breast', ' Cocktails']",800.0,3.8,81,0.0,0,"['Home Delivery', 'Full Bar Available', 'Smoking Area', 'Indoor Seating']"
i-Way Restaurant,Perungudi,"['Chinese', ' North Indian', ' Chettinad']","['Biryani', ' Dragon Chicken', ' Chicken Grill', ' Naan', ' Panneer Butter Masala', ' Chicken Manchow Soup', ' Fried Rice Chicken']",300.0,3.8,204,3.8,522,"['Home Delivery', 'Catering Available', 'Indoor Seating']"
The Table,Anna Nagar East,"['Bakery', ' Desserts']","['Red Velvet Jar', ' Chocolate Mud Jar', ' Tiramisu', ' Salted Caramel Brownie', ' Chocolate Mud Cake', ' Chocolate Raspberry']",150.0,3.8,148,4.2,1994,"['Home Delivery', 'Indoor Seating', 'Gluten Free Options', 'Desserts and Bakes', 'Vegan Options']"
